"","idnum","mothid1","cm1fint","m1a4","m1a11a","m1a11b","m1a11c","m1a11d","cm1age","cm1bsex","m1b2","m1b3","m1b11a","m1b22a","m1b11b","m1b22b","m1b11c","m1b22c","m1b11d","m1b22d","m1b13b","m1b25b","m1b13c","m1b25c","m1b16","m1b17","m1g2","m1g3","m1g4","fathid1","f1b5a","f1b11a","f1b22a","f1b5b","f1b11b","f1b22b","f1b5c","f1b11c","f1b22c","f1b5d","f1b11d","f1b22d","f1b13b","f1b13c","f1b16","f1b17","f1g3","f1g4","f1g2"
"1","0001","00010",1,-3,1,1,2,2,26,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,4,5,4,"00011",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,2
"2","0002","00020",0,2,2,1,2,2,25,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00021",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"3","0003","00030",1,2,1,1,2,2,23,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00031",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,2,4,2
"4","0004","00040",1,2,1,1,1,2,24,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00041",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"5","0005","00050",0,2,1,2,1,2,24,1,2,2,2,-6,2,-6,2,-6,2,-6,3,-6,1,-6,2,1,5,5,4,"00051",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"6","0006","00060",0,2,1,2,2,2,26,1,2,2,1,-6,2,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"00061",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"7","0007","00070",1,2,1,2,2,2,32,2,2,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-5,2,2,2,5,4,"00071",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,2,2,-1,-1,-1
"8","0008","00080",1,2,1,2,2,2,21,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00081",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,1,5,4,5
"9","0009","00090",1,2,1,1,1,2,24,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-5,1,-5,1,1,5,5,4,"00091",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,3,4,3
"10","0010","00100",0,2,1,1,2,2,33,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00101",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"11","0011","00110",1,2,1,1,2,2,18,1,2,1,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00111",-6,2,-6,-6,2,-6,-6,1,-6,-6,1,-6,3,1,1,1,1,2,3
"12","0012","00120",1,2,1,1,2,2,19,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00121",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"13","0013","00130",1,2,1,2,1,2,18,1,2,2,2,-6,2,-6,2,-6,2,-6,3,-6,1,-6,2,1,5,5,4,"00131",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,2,5,3,4
"14","0014","00140",1,2,1,1,2,2,23,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00141",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"15","0015","00150",1,2,1,2,1,2,22,1,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,2,-6,1,1,5,5,4,"00151",-6,2,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,1,1,1,4,4,2
"16","0016","00160",1,2,1,1,2,2,19,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00161",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,5
"17","0017","00170",0,2,1,2,2,2,29,2,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"00171",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"18","0018","00180",1,1,-6,-6,-6,-6,28,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,2,"00181",-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,1,4
"19","0019","00190",0,2,1,2,1,2,29,1,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,3,"00191",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"20","0020","00200",1,1,-6,-6,-6,-6,26,2,1,-6,-6,1,-6,2,-6,2,-6,1,-6,3,-6,1,-6,-6,5,5,4,"00201",-6,-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,-6,-6,-6,5,4,3
"21","0021","00210",1,2,1,1,2,2,22,2,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00211",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"22","0022","00220",1,2,1,2,2,2,19,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"00221",1,-6,-6,1,-6,-6,2,-6,-6,1,-6,-6,-6,-6,1,1,5,4,4
"23","0023","00230",1,2,1,1,2,2,19,2,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"00231",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,4
