"","idnum","mothid2","cm2fint","m2a4","m2a4d","m2a10","m2a11","cm2age","cm2b_age","m2b15","m2b18a","m2b18b","m2b18c","m2b18d","m2b18e","m2b18f","m2b18g","m2b18h","m2b19","m2b19a","mx2b20b","m2b21","m2b21a","m2c1","m2c1a","m2c2a","m2c2b1","m2c2b2","m2c2e","m2c2f","m2c3a","m2c3b","m2c3c","m2c3d","m2c3e","m2c3f","m2c3g","m2c3h","m2c3i","m2c3j","mx2c2c","m2c4"
"1","0001","00010",1,-6,-6,1,-6,27,12,0,202,202,203,-5,-5,-5,-5,-5,2,-6,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,203,-5,201,-5,-5,201,-5,-5,1,2
"2","0002","00020",1,-6,-6,1,-6,27,16,0,201,203,201,201,201,201,201,201,2,-6,-5,1,7,1,-6,-6,-6,-6,-6,-6,201,201,204,204,201,201,201,202,201,201,-5,2
"3","0003","00030",1,-6,-6,2,2,25,17,0,201,201,201,205,201,203,201,201,2,-6,-5,1,30,2,2,4,-6,-6,1,400,-3,201,201,-3,201,-3,202,202,202,202,-5,2
"4","0004","00040",1,-6,-6,1,-6,25,12,0,3,7,3,7,7,1,7,7,2,-6,-5,1,12,1,-6,-6,-6,-6,-6,-6,4,2,4,4,7,1,7,7,7,7,-5,2
"5","0005","00050",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"6","0006","00060",0,-6,-6,2,5,27,12,0,5,5,7,5,5,5,7,7,2,-6,-5,1,32,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"7","0007","00070",0,-6,-6,2,3,33,15,0,201,201,204,-5,-5,-5,-5,-5,2,-6,4,1,-5,2,2,2,-6,-6,-5,-5,-5,-5,204,-5,204,-5,-5,204,-5,-5,4,2
"8","0008","00080",1,-6,-6,1,-6,22,17,0,201,201,202,205,201,202,201,201,1,2,-5,2,-6,1,-6,-6,-6,-6,-6,-6,201,201,202,204,201,202,201,201,201,201,-5,1
"9","0009","00090",1,-6,-6,1,-6,25,14,0,201,201,202,-5,-5,-5,-5,-5,1,4,4,1,-5,1,-6,-6,-6,-6,-6,-6,-5,-5,202,-5,201,-5,-5,201,-5,-5,2,2
"10","0010","00100",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"11","0011","00110",0,-6,-6,1,-6,20,18,0,7,7,3,3,7,4,7,7,1,2,-5,2,-6,1,-6,-6,-6,-6,-6,-6,3,2,1,1,3,0,7,5,7,0,-5,1
"12","0012","00120",1,-6,-6,2,5,20,12,2,7,5,7,7,7,3,7,7,1,4,-5,2,-6,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"13","0013","00130",1,-6,-6,2,1,19,12,0,7,6,2,2,7,0,7,7,1,2,-5,1,5,2,2,15,-6,-6,2,-6,2,0,0,0,0,0,2,2,2,0,-5,2
"14","0014","00140",1,-6,-6,2,4,24,22,0,7,7,7,7,3,7,7,7,2,-6,-5,1,99,2,2,0,3,2001,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"15","0015","00150",1,-6,-6,2,1,23,17,0,3,3,2,2,5,3,7,7,2,-6,-5,2,-6,2,2,20,-6,-6,1,-2,3,3,1,3,3,3,3,3,3,3,-5,2
"16","0016","00160",1,-6,-6,2,1,20,16,0,5,5,3,3,7,6,7,7,1,3,-5,1,25,1,-6,-6,-6,-6,-6,-6,3,2,2,2,3,2,3,3,5,3,-5,2
"17","0017","00170",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"18","0018","00180",1,-6,-6,1,-6,29,12,0,7,5,7,3,7,3,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,3,0,3,2,7,2,7,7,7,2,-5,-2
"19","0019","00190",0,-6,-6,2,5,31,16,0,201,201,203,203,201,203,201,201,1,4,-5,2,-6,2,2,0,7,2000,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6
"20","0020","00200",1,-6,-6,1,-6,27,20,1,7,7,7,7,7,1,7,7,2,-6,-5,2,-6,1,-6,-6,-6,-6,-6,-6,2,0,0,2,7,0,7,7,7,0,-5,2
