"","idnum","mothid3","cm3fint","m3a4","m3a4b","m3a8c","m3a9","cm3age","cm3b_age","m3a4a","m3a4a1","m3a4a2","m3b4a","m3b4c","m3b4d","m3b4e","m3b4f","m3b4b","m3b4m","m3b4g","m3b4h","m3b4i","m3b4k","m3b4l","m3b5","m3b5a","m3b7","m3b7a","m3c1","m3c1a","m3c2a","m3c2b1","m3c2b2","m3c2c","m3c2d","m3c3a","m3c3f","m3c3g","m3c3h","m3c3j","m3c3b","m3c3m","m3c4","m3c3c","m3c3d","m3c3e","m3c3i","m3c3k","m3c3l"
"1","0001","00010",1,2,7,1,-6,29,36,1,1,2,0,7,7,7,4,7,7,4,7,7,1,7,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,0,2,5,4,2,7,3,2,7,4,7,7,1,7
"2","0002","00020",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"3","0003","00030",1,2,7,1,-6,26,33,1,1,2,7,7,3,7,7,7,7,3,7,7,0,7,2,-6,1,25,1,-6,-6,-6,-6,-6,-6,7,3,3,4,7,7,2,2,7,2,4,7,0,7
"4","0004","00040",1,2,7,1,-6,26,35,1,1,2,5,7,7,7,7,7,7,7,7,7,1,1,2,-6,2,-6,1,-6,-6,-6,-6,-6,-6,5,7,7,4,2,7,3,2,7,7,6,7,1,1
"5","0005","00050",0,5,-6,2,5,27,37,-6,-6,-6,3,7,4,2,4,7,7,4,0,7,2,7,2,-6,1,40,2,2,1,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"6","0006","00060",0,5,-6,2,5,28,33,-6,-6,-6,7,7,4,5,7,7,7,4,7,5,3,7,1,3,1,30,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"7","0007","00070",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"8","0008","00080",1,1,-6,1,-6,23,33,-6,1,1,5,7,7,5,5,7,7,5,7,7,4,0,1,2,2,-6,1,-6,-6,-6,-6,-6,-6,5,5,5,5,2,7,7,1,7,5,5,7,5,0
"9","0009","00090",1,5,-6,2,3,27,40,-6,-6,-6,7,7,7,2,4,7,7,2,0,7,0,0,1,4,1,70,2,2,0,1,2001,1,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"10","0010","00100",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"11","0011","00110",1,1,-6,1,-6,21,36,-6,1,1,6,7,7,7,7,7,7,7,7,6,2,3,1,2,2,-6,1,-6,-6,-6,-6,-6,-6,3,4,4,7,0,7,5,1,7,3,2,7,0,7
"12","0012","00120",1,5,-6,2,4,23,37,-6,-6,-6,7,7,7,7,7,7,7,7,7,7,2,0,1,4,2,-6,2,2,0,4,2003,1,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"13","0013","00130",0,5,-6,2,6,21,38,-6,-6,-6,3,7,3,3,7,7,5,3,2,7,1,3,1,3,1,41,2,2,0,1,2002,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"14","0014","00140",1,3,-6,2,4,26,40,-6,-6,-6,7,7,7,5,7,7,0,0,7,7,1,0,2,-6,1,40,2,2,1,-6,-6,1,60,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"15","0015","00150",1,4,-6,2,1,25,35,-6,-6,-6,1,7,0,2,2,7,7,2,2,7,2,0,1,3,1,35,2,2,12,-6,-6,1,100,-2,3,3,3,0,3,3,2,3,0,3,3,1,0
"16","0016","00160",1,3,-6,2,2,21,34,-6,-6,-6,4,7,4,4,2,7,7,4,5,7,1,0,1,4,1,6,2,2,20,-6,-6,1,300,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
