"","idnum","mothid4","m4b0","m4b1","m4b2","m4b4a1","m4b26a","m4b4a2","m4b26b","m4b4a3","m4b26c","m4b4a4","m4b26d","m4b4a5","m4b26e","m4b4a6","m4b26f","m4b4a7","m4b26g","m4b4a8","m4b26h","m4b5","m4b5a","m4b8","m4b8a","m4b8b","m4b27","m4b28a","m4b28b","m4b28c","m4c3a","m4c3b","m4c3c","m4c3d","m4c3e","m4c3f","m4c3g","m4c3h","m4c4","m4c4a","m4c5","m4c7a","m4c7b","m4c7c","m4c7d","m4c26a","m4c26b","m4c26c","m4c26d","m4i0e","m4j18","kind_a5","kind_a6","kind_a7","kind_b1a","kind_b1b","kind_b1c","kind_b1d","kind_b1e","kind_b1f","kind_b1g","kind_b1h","kind_b1i"
"1","0001","00010",1,2,1,0,-6,1,-6,0,-6,3,-6,7,-6,3,-6,7,-6,7,-6,2,-6,1,3,25,-6,-6,-6,-6,0,1,1,1,7,2,7,7,2,-6,1,1,1,1,1,-6,-6,-6,-6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","0002","00020",1,3,3,0,-6,4,-6,0,-6,5,-6,7,-6,2,-6,1,-6,7,-6,1,4,1,5,6,-6,-6,-6,-6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-6,1,1,4,4,4,3,3,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","0003","00030",1,3,1,2,-6,7,-6,5,-6,5,-6,7,-6,3,-6,5,-6,7,-6,1,4,1,4,30,-6,-6,-6,-6,-2,3,3,3,3,2,2,3,2,-6,2,-2,-2,-2,-2,1,1,1,2,-2,1,3,3,2,4,3,2,3,5,4,3,3,2
"4","0004","00040",1,3,2,4,-6,7,-6,7,-6,7,-6,7,-6,7,-6,2,-6,1,-6,2,-6,1,4,20,-6,-6,-6,-6,7,7,7,5,7,7,3,1,2,-6,1,1,2,1,1,-6,-6,-6,-6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","0005","00050",1,1,1,4,-6,7,-6,7,-6,4,-6,7,-6,5,-6,4,-6,7,-6,2,-6,2,-6,-6,-6,-6,-6,-6,0,0,0,0,0,0,0,0,2,-6,4,4,4,4,4,3,3,4,4,-6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","0006","00060",1,1,3,3,-6,7,-6,3,-6,7,-6,7,-6,4,-6,2,-6,7,-6,1,4,1,5,15,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","0007","00070",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","0008","00080",1,1,1,4,-6,7,-6,7,-6,0,-6,7,-6,3,-6,5,-6,7,-6,1,3,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,4,3,4,4,-6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","0009","00090",1,1,1,4,-6,2,-6,7,-6,7,-6,7,-6,7,-6,1,-6,7,-6,1,3,1,1,40,-6,-6,-6,-6,-2,-2,-2,-2,4,4,4,4,-2,-6,2,1,1,2,2,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","0010","00100",1,1,1,7,-6,7,-6,5,-6,7,-6,7,-6,3,-6,7,-6,5,-6,2,-6,1,5,40,-6,-6,-6,-6,0,0,0,0,0,0,0,2,2,-6,4,4,4,4,4,4,2,4,2,2,2,3,3,3,5,5,5,5,5,5,5,5,5
"11","0011","00110",1,2,1,3,-6,7,-6,6,-6,5,-6,7,-6,3,-6,3,-6,7,-6,1,2,1,3,30,-6,-6,-6,-6,2,1,7,7,3,1,2,7,2,-6,2,1,1,1,1,-6,-6,-6,-6,2,2,4,4,4,5,5,5,5,5,5,5,5,5
"12","0012","00120",1,1,1,5,-6,3,-6,3,-6,0,-6,7,-6,3,-6,7,-6,7,-6,1,3,1,3,25,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,2,4,2,1,1,2,3,2,3,5,5,3,4,4,4,4,4
"13","0013","00130",1,3,3,2,-6,7,-6,1,-6,2,-6,3,-6,3,-6,1,-6,2,-6,2,-6,1,3,35,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","0014","00140",1,1,2,7,-6,7,-6,7,-6,7,-6,7,-6,4,-6,7,-6,2,-6,2,-6,1,5,40,-6,-6,-6,-6,0,0,0,0,-2,0,2,2,1,4,3,4,4,4,4,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","0015","00150",1,1,2,2,-6,3,-6,3,-6,3,-6,7,-6,3,-6,4,-6,5,-6,2,-6,1,5,35,-6,-6,-6,-6,0,0,0,2,2,2,0,2,2,-6,3,3,4,4,4,4,3,4,3,1,2,3,3,3,3,5,4,4,3,3,3,4,4
"16","0016","00160",1,2,2,2,-6,4,-6,4,-6,5,-6,3,-6,3,-6,2,-6,7,-6,1,4,1,1,12,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,3,3,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","0017","00170",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","0018","00180",1,3,1,7,-6,4,-6,0,-6,5,-6,7,-6,0,-6,2,-6,7,-6,1,2,1,3,12,-6,-6,-6,-6,0,1,4,2,5,0,2,7,1,2,1,2,1,1,3,-6,-6,-6,-6,1,1,2,2,3,3,4,1,4,4,3,4,2,4
"19","0019","00190",1,2,2,1,-6,4,-6,4,-6,4,-6,3,-6,3,-6,2,-6,4,-6,1,4,1,4,30,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","0020","00200",1,2,2,7,-6,7,-6,7,-6,7,-6,7,-6,3,-6,5,-6,3,-6,2,-6,1,1,40,-6,-6,-6,-6,5,5,6,7,7,3,3,5,2,-6,1,1,1,1,2,-6,-6,-6,-6,2,2,3,4,4,5,5,5,5,4,5,5,5,5
"21","0021","00210",1,2,2,5,-6,7,-6,5,-6,7,-6,7,-6,5,-6,3,-6,7,-6,2,-6,1,3,15,-6,-6,-6,-6,5,7,4,7,7,5,3,7,2,-6,1,1,1,1,2,-6,-6,-6,-6,1,2,4,4,4,5,5,5,5,4,5,5,5,5
